model,period,n,frauds,prevalence,average_precision,roc_auc,precision,recall,alert_rate,precision_at_daily_budget,recall_at_daily_budget,settled_fraud_value_capture,brier_score,seed,scenario
boosting,pre_shift,956,8,0.008368200836820083,0.10465597087054328,0.7964135021097046,0.0625,0.375,0.0502092050209205,0.05454545454545454,0.375,0.6593351758022417,0.010014391325369118,22,no_excitation
boosting,post_shift,4635,65,0.014023732470334413,0.07371223022659758,0.7141491331425687,0.05921052631578947,0.4153846153846154,0.09838187702265372,0.09777777777777778,0.3384615384615385,0.48878908313997566,0.0172096959626301,22,no_excitation
boosting_static,all_test,5591,73,0.013056698265068861,0.05620654393673911,0.6583050738057763,0.07119741100323625,0.3013698630136986,0.055267394026113394,0.07857142857142857,0.3013698630136986,0.44730807080213814,0.014075651065964421,22,no_excitation
boosting_static,pre_shift,956,8,0.008368200836820083,0.05533253158227468,0.5571598101265822,0.030303030303030304,0.125,0.034518828451882845,0.05357142857142857,0.375,0.6593351758022417,0.008857033900990928,22,no_excitation
boosting_static,post_shift,4635,65,0.014023732470334413,0.058465455292509655,0.6673388318464906,0.07608695652173914,0.3230769230769231,0.05954692556634304,0.08482142857142858,0.2923076923076923,0.43461830044338257,0.015152026041091641,22,no_excitation
boosting_no_network,all_test,5591,73,0.013056698265068861,0.06860478730477486,0.7231762053950459,0.08024691358024691,0.3561643835616438,0.05795027723126453,0.08928571428571429,0.3424657534246575,0.5587850228247158,0.013852529836594837,22,no_excitation
boosting_no_network,pre_shift,956,8,0.008368200836820083,0.17229086506103833,0.6743143459915613,0.08108108108108109,0.375,0.038702928870292884,0.05454545454545454,0.375,0.6593351758022417,0.008671542059878832,22,no_excitation
boosting_no_network,post_shift,4635,65,0.014023732470334413,0.0694165373417432,0.7268860461201818,0.08013937282229965,0.35384615384615387,0.06192017259978425,0.09777777777777778,0.3384615384615385,0.5527671207700613,0.014921143496689878,22,no_excitation
isolation_forest,all_test,5591,73,0.013056698265068861,0.026962005045581088,0.6948939212639084,0.03716814159292035,0.2876712328767123,0.10105526739402611,0.03214285714285714,0.1232876712328767,0.13362321228069415,,22,no_excitation
isolation_forest,pre_shift,956,8,0.008368200836820083,0.025221267777323954,0.7009493670886077,0.02531645569620253,0.25,0.08263598326359832,0.01818181818181818,0.125,0.35076001842468907,,22,no_excitation
isolation_forest,post_shift,4635,65,0.014023732470334413,0.028189224771210455,0.6900622790775963,0.03909465020576132,0.2923076923076923,0.10485436893203884,0.035555555555555556,0.12307692307692308,0.12062762755863907,,22,no_excitation
behaviour_rule,all_test,5591,73,0.013056698265068861,0.06231422060880513,0.7204317625504575,0.07453416149068323,0.3287671232876712,0.05759255947057772,0.07857142857142857,0.3013698630136986,0.39104178678724244,,22,no_excitation
behaviour_rule,pre_shift,956,8,0.008368200836820083,0.14321722890932556,0.7412974683544303,0.08108108108108109,0.375,0.038702928870292884,0.05357142857142857,0.375,0.6593351758022417,,22,no_excitation
behaviour_rule,post_shift,4635,65,0.014023732470334413,0.05796409084117185,0.7149974751725298,0.07368421052631578,0.3230769230769231,0.061488673139158574,0.08482142857142858,0.2923076923076923,0.3749844930965563,,22,no_excitation
logistic,all_test,5470,74,0.013528336380255941,0.18141807382323305,0.8006506320998538,0.11196911196911197,0.3918918918918919,0.047349177330895796,0.11071428571428571,0.4189189189189189,0.5847286211933925,0.012788947448506297,33,no_excitation
logistic,pre_shift,962,20,0.02079002079002079,0.5830268927998132,0.9630573248407643,0.35294117647058826,0.9,0.05301455301455302,0.32727272727272727,0.9,0.9767144195539056,0.01324921343896121,33,no_excitation
logistic,post_shift,4508,54,0.011978704525288377,0.06201863206077417,0.7379218014601939,0.052884615384615384,0.2037037037037037,0.04614019520851819,0.057777777777777775,0.24074074074074073,0.3488290835166406,0.012690727421261924,33,no_excitation
boosting,all_test,5470,74,0.013528336380255941,0.21440312399522915,0.7724640875122712,0.1048951048951049,0.40540540540540543,0.05228519195612431,0.10714285714285714,0.40540540540540543,0.5094557881586166,0.012073633115441006,33,no_excitation
boosting,pre_shift,962,20,0.02079002079002079,0.576023962132147,0.9465498938428876,0.3488372093023256,0.75,0.0446985446985447,0.29411764705882354,0.75,0.8853534842600208,0.013255256500844349,33,no_excitation
