scenario,model,period,metric,n_seeds,mean,standard_error,ci95_low,ci95_high
no_memory,boosting_no_network,all_test,average_precision,5,0.14834674611076396,0.020639142991725888,0.09104329857590927,0.20565019364561865
no_memory,boosting_no_network,all_test,precision_at_daily_budget,5,0.155,0.02638026473231341,0.08175664311014647,0.22824335688985353
no_memory,boosting_no_network,all_test,recall_at_daily_budget,5,0.3138596982075243,0.03554431073937553,0.21517287063755575,0.41254652577749285
no_memory,boosting_no_network,post_shift,average_precision,5,0.08694709423590943,0.018608150084134037,0.03528258701802958,0.13861160145378928
no_memory,boosting_no_network,post_shift,precision_at_daily_budget,5,0.11855870169785945,0.02665393419482246,0.04455551656838054,0.19256188682733838
no_memory,boosting_no_network,post_shift,recall_at_daily_budget,5,0.2271559004526474,0.021218461131277937,0.16824400790488114,0.2860677930004137
no_memory,boosting_no_network,pre_shift,average_precision,5,0.5901928444608254,0.06431641849449549,0.4116218391479306,0.7687638497737203
no_memory,boosting_no_network,pre_shift,precision_at_daily_budget,5,0.30592759772501577,0.06821762755283164,0.11652509961775023,0.49533009583228127
no_memory,boosting_no_network,pre_shift,recall_at_daily_budget,5,0.6899435736677116,0.08183785684476381,0.4627252566111894,0.9171618907242338
no_memory,boosting_static,all_test,average_precision,5,0.13565703219933983,0.014048068539449053,0.09665334106550338,0.17466072333317628
no_memory,boosting_static,all_test,precision_at_daily_budget,5,0.15,0.018728729431609848,0.09800071084303298,0.20199928915696702
no_memory,boosting_static,all_test,recall_at_daily_budget,5,0.30863074254378603,0.023897670747423657,0.24228017157147314,0.3749813135160989
no_memory,boosting_static,post_shift,average_precision,5,0.09080431517806525,0.014764057427982893,0.049812720199283025,0.1317959101568475
no_memory,boosting_static,post_shift,precision_at_daily_budget,5,0.11715896849509813,0.020331083010215183,0.06071083258801617,0.17360710440218008
no_memory,boosting_static,post_shift,recall_at_daily_budget,5,0.22901371648800178,0.012597810802270201,0.1940365863498308,0.2639908466261728
no_memory,boosting_static,pre_shift,average_precision,5,0.5198251751098786,0.05281644973548928,0.3731832017678541,0.6664671484519031
